Latitude,Longitude,Name,Link
43.782,-79.244,Scarborough: Highway near Bellamy Road,https://on.windy.com/6d2nn
43.785,-79.235,Scarborough: Highway near Markham Road,https://on.windy.com/6d2no
43.787,-79.228,Scarborough: Highway east of Markham Road,https://on.windy.com/6d2np
43.793,-79.215,Scarborough: Highway near Neilson Road,https://on.windy.com/6d2nr
43.795,-79.206,Scarborough: Highway east of Neilson Road,https://on.windy.com/6d2nv
43.796,-79.197,Scarborough: Highway near Morningside Avenue,https://on.windy.com/6d2o0
43.797,-79.187,Scarborough: Highway near Conlins Road,https://on.windy.com/6d2o3
43.799,-79.177,Scarborough: Highway east of Conlins Road,https://on.windy.com/6d2o4
43.799,-79.167,Scarborough: Highway near Meadowvale Road,https://on.windy.com/6d2o6
43.797,-79.144,Scarborough: Highway near Port Union Road,https://on.windy.com/6d2o8
43.8,-79.14,Scarborough: Highway near Rouge River,https://on.windy.com/6d2o9
43.807,-79.129,Pickering: Highway near Rougemont Drive,https://on.windy.com/6d2oa
43.758,-79.336,Toronto: York Mills Road - Don Valley Parkway,https://on.windy.com/6d2oc
43.749,-79.333,Toronto: Don Valley Parkway near Brookbanks Dr,https://on.windy.com/6d2oh
43.74,-79.332,Toronto: Don Valley Parkway near Lawrence Ave,https://on.windy.com/6d2oi
43.731,-79.331,Toronto: Don Valley Parkway near Concorde Gt,https://on.windy.com/6d2oj
43.727,-79.33,Toronto: Don Valley Parkway near Wynford Dr,https://on.windy.com/6d2ol
43.724,-79.33,Toronto: Don Valley Parkway near Eglinton Ave,https://on.windy.com/6d2om
43.718,-79.327,Toronto: Don Valley Parkway near St Dennis Dr,https://on.windy.com/6d2op
43.713,-79.325,Toronto: Don Valley Parkway near Spanbridge Rd,https://on.windy.com/6d2os
43.708,-79.332,East York: Don Valley Parkway south of Spanbridge Rd,https://on.windy.com/6d2ot
43.701,-79.338,East York: Don Valley Parkway near Don Mills Rd,https://on.windy.com/6d2ov
43.698,-79.35,Todmorden Village: Don Valley Parkway near Millwood Rd,https://on.windy.com/6d2p7
43.693,-79.358,East York: Don Valley Parkway near Beachwood Cres,https://on.windy.com/6d2pb
43.682,-79.363,Toronto › North: Don Valley Parkway,https://on.windy.com/6d2pd
43.672,-79.359,Playter Estates: Don Valley Parkway near Prince Edward Viaduct,https://on.windy.com/6d2pg
43.662,-79.355,East Chinatown: Don Valley Parkway near Dundas St,https://on.windy.com/6d2pk
43.645,-79.523,Toronto: Bloor St West At Islington Ave West Side,https://on.windy.com/6d2pm
43.66,-79.436,Toronto › East: Bloor Street West & Dufferin Street,https://on.windy.com/4pmr1
43.665,-79.411,Old Toronto › South-West: Bloor Street West & Bathurst Street,https://on.windy.com/6d2po
43.667,-79.404,Toronto: Spadina Road,https://on.windy.com/6d2pq
43.64236814,-79.38763867,CN Tower Cam - Tower View,https://www.earthcam.com/world/canada/toronto/cntower/?cam=towerview
43.64260968,-79.38624276,CN Tower Cam - East View,https://www.earthcam.com/world/canada/toronto/cntower/?cam=cntower1
43.64227481,-79.38775247,CN Tower Cam - West View,https://www.earthcam.com/world/canada/toronto/cntower/?cam=cntower2
